"","City..Ville","Latitude..Latitude","Longitude..Longitude"
"122","Metro Van - New Westminster",49.227045,-122.894487
"123","Metro Van - New Westminster",49.227045,-122.894487
"124","Metro Van - New Westminster",49.227045,-122.894487
"125","Metro Van - New Westminster",49.227045,-122.894487
"126","Metro Van - New Westminster",49.227045,-122.894487
"127","Metro Van - New Westminster",49.227045,-122.894487
"128","Metro Van - New Westminster",49.227045,-122.894487
"129","Metro Van - New Westminster",49.227045,-122.894487
"130","Metro Van - New Westminster",49.227045,-122.894487
"131","Metro Van - New Westminster",49.227045,-122.894487
"132","Metro Van - New Westminster",49.227045,-122.894487
"133","Metro Van - New Westminster",49.227045,-122.894487
"134","Metro Van - New Westminster",49.227045,-122.894487
"135","Metro Van - New Westminster",49.227045,-122.894487
"136","Metro Van - New Westminster",49.227045,-122.894487
"137","Metro Van - New Westminster",49.227045,-122.894487
"138","Metro Van - New Westminster",49.227045,-122.894487
"139","Metro Van - New Westminster",49.227045,-122.894487
"140","Metro Van - New Westminster",49.227045,-122.894487
"141","Metro Van - New Westminster",49.227045,-122.894487
"142","Metro Van - New Westminster",49.227045,-122.894487
"143","Metro Van - New Westminster",49.227045,-122.894487
"144","Metro Van - New Westminster",49.227045,-122.894487
"145","Metro Van - New Westminster",49.227045,-122.894487
"146","Metro Van - New Westminster",49.227045,-122.894487
"147","Metro Van - New Westminster",49.227045,-122.894487
"148","Metro Van - New Westminster",49.227045,-122.894487
"149","Metro Van - New Westminster",49.227045,-122.894487
"150","Metro Van - New Westminster",49.227045,-122.894487
"151","Metro Van - New Westminster",49.227045,-122.894487
"152","Metro Van - New Westminster",49.227045,-122.894487
"153","Metro Van - New Westminster",49.227045,-122.894487
"154","Metro Van - New Westminster",49.227045,-122.894487
"155","Metro Van - New Westminster",49.227045,-122.894487
"156","Metro Van - New Westminster",49.227045,-122.894487
"157","Metro Van - New Westminster",49.227045,-122.894487
"158","Metro Van - New Westminster",49.227045,-122.894487
"159","Metro Van - New Westminster",49.227045,-122.894487
"160","Metro Van - New Westminster",49.227045,-122.894487
"161","Metro Van - New Westminster",49.227045,-122.894487
"162","Metro Van - New Westminster",49.227045,-122.894487
"163","Metro Van - New Westminster",49.227045,-122.894487
"164","Metro Van - New Westminster",49.227045,-122.894487
"165","Metro Van - New Westminster",49.227045,-122.894487
"166","Metro Van - New Westminster",49.227045,-122.894487
"167","Metro Van - New Westminster",49.227045,-122.894487
"168","Metro Van - New Westminster",49.227045,-122.894487
"169","Metro Van - New Westminster",49.227045,-122.894487
"170","Metro Van - New Westminster",49.227045,-122.894487
"171","Metro Van - New Westminster",49.227045,-122.894487
"172","Metro Van - New Westminster",49.227045,-122.894487
"173","Metro Van - New Westminster",49.227045,-122.894487
"174","Metro Van - New Westminster",49.227045,-122.894487
"175","Metro Van - New Westminster",49.227045,-122.894487
"176","Metro Van - New Westminster",49.227045,-122.894487
"177","Metro Van - New Westminster",49.227045,-122.894487
"178","Metro Van - New Westminster",49.227045,-122.894487
"179","Metro Van - New Westminster",49.227045,-122.894487
"180","Metro Van - New Westminster",49.227045,-122.894487
